Event,Date,Region,Netplay,Version,P1Name,P1Char1,P1Char2,P1Char3,P2Name,P2Char1,P2Char2,P2Char3,URL
Skullgirls OCE Ranbats,2025-07-25,Oceania,1,2024 Balance Patch,Greenhood,RF,DB,EL,Drip,DB,BB,PC,https://www.youtube.com/watch?v=-k70zPv-Fpg&t=22m44s
Skullgirls OCE Ranbats,2025-07-25,Oceania,1,2024 Balance Patch,SeaJay,VA,CE,BB,karate jesus,BW,N,N,https://www.youtube.com/watch?v=-k70zPv-Fpg&t=36m13s
Skullgirls OCE Ranbats,2025-07-25,Oceania,1,2024 Balance Patch,Greenhood,RF,DB,EL,free food,BD,BW,BB,https://www.youtube.com/watch?v=-k70zPv-Fpg&t=47m42s
Skullgirls OCE Ranbats,2025-07-25,Oceania,1,2024 Balance Patch,karate jesus,BW,N,N,No Funny Name,FI,CE,BB,https://www.youtube.com/watch?v=-k70zPv-Fpg&t=1h2m58s
Skullgirls OCE Ranbats,2025-07-25,Oceania,1,2024 Balance Patch,SeaJay,VA,CE,BB,Jafferboof,FU,BB,N,https://www.youtube.com/watch?v=-k70zPv-Fpg&t=1h11m28s
Skullgirls OCE Ranbats,2025-07-25,Oceania,1,2024 Balance Patch,No Funny Name,FI,CE,BB,Drip,PS,FI,BB,https://www.youtube.com/watch?v=-k70zPv-Fpg&t=1h17m31s
Skullgirls OCE Ranbats,2025-07-25,Oceania,1,2024 Balance Patch,SeaJay,VA,CE,BB,free food,BD,BW,BB,https://www.youtube.com/watch?v=-k70zPv-Fpg&t=1h33m13s
Skullgirls OCE Ranbats,2025-07-25,Oceania,1,2024 Balance Patch,karate jesus,BW,N,N,Greenhood,EL,SQ,BB,https://www.youtube.com/watch?v=-k70zPv-Fpg&t=1h50m37s
Skullgirls OCE Ranbats,2025-07-25,Oceania,1,2024 Balance Patch,SeaJay,VA,CE,BB,No Funny Name,FI,CE,BB,https://www.youtube.com/watch?v=-k70zPv-Fpg&t=1h58m48s
Skullgirls OCE Ranbats,2025-07-25,Oceania,1,2024 Balance Patch,karate jesus,BW,N,N,No Funny Name,FI,CE,BB,https://www.youtube.com/watch?v=-k70zPv-Fpg&t=2h9m15s
Skullgirls OCE Ranbats,2025-07-25,Oceania,1,2024 Balance Patch,karate jesus,BW,N,N,Greenhood,RF,DB,EL,https://www.youtube.com/watch?v=-k70zPv-Fpg&t=2h21m40s
Skullgirls OCE Danisen,2025-07-21,Oceania,1,2024 Balance Patch,Age,VA,SQ,CE,Hagith,MF,BW,N,https://www.youtube.com/watch?v=wNaPp4qRMfs&t=1s
Skullgirls OCE Danisen,2025-07-21,Oceania,1,2024 Balance Patch,Jafferboof,FU,BB,N,Murix,EL,BB,N,https://www.youtube.com/watch?v=wNaPp4qRMfs&t=12m4s
Skullgirls OCE Danisen,2025-07-21,Oceania,1,2024 Balance Patch,Risorreto,PS,UM,PC,Jafferboof,FU,BB,N,https://www.youtube.com/watch?v=wNaPp4qRMfs&t=26m55s
Skullgirls OCE Danisen,2025-07-21,Oceania,1,2024 Balance Patch,No Funny Name,FI,CE,BB,Drip,MF,RF,BB,https://www.youtube.com/watch?v=wNaPp4qRMfs&t=46m53s
Skullgirls OCE Quickbats,2025-07-18,Oceania,1,2024 Balance Patch,Age,VA,SQ,CE,chimps,FI,BB,N,https://www.youtube.com/watch?v=VhkXNR7Z66Q&t=25m41s
Skullgirls OCE Quickbats,2025-07-18,Oceania,1,2024 Balance Patch,No Funny Name,FI,CE,BB,Beetron,PS,BD,EL,https://www.youtube.com/watch?v=VhkXNR7Z66Q&t=30m37s
Skullgirls OCE Quickbats,2025-07-18,Oceania,1,2024 Balance Patch,chimps,FI,BB,N,free food,BD,BW,BB,https://www.youtube.com/watch?v=VhkXNR7Z66Q&t=39m41s
Skullgirls OCE Quickbats,2025-07-18,Oceania,1,2024 Balance Patch,Beetron,PS,BD,EL,Age,VA,SQ,CE,https://www.youtube.com/watch?v=VhkXNR7Z66Q&t=46m26s
Skullgirls OCE Quickbats,2025-07-18,Oceania,1,2024 Balance Patch,free food,BD,BW,BB,No Funny Name,FI,CE,BB,https://www.youtube.com/watch?v=VhkXNR7Z66Q&t=52m28s
Skullgirls OCE Quickbats,2025-07-18,Oceania,1,2024 Balance Patch,chimps,FI,BB,N,Beetron,PS,BD,EL,https://www.youtube.com/watch?v=VhkXNR7Z66Q&t=1h1m8s
Skullgirls OCE Quickbats,2025-07-18,Oceania,1,2024 Balance Patch,free food,DB,BD,BW,Beetron,PS,BD,EL,https://www.youtube.com/watch?v=VhkXNR7Z66Q&t=1h7m7s
Skullgirls OCE Quickbats,2025-07-18,Oceania,1,2024 Balance Patch,No Funny Name,FI,CE,BB,Beetron,PS,BD,EL,https://www.youtube.com/watch?v=VhkXNR7Z66Q&t=1h18m20s
Skullgirls OCE Danisen,2025-07-14,Oceania,1,2024 Balance Patch,Murix,EL,BB,N,Age,VA,SQ,CE,https://www.youtube.com/watch?v=_FBdwx1-504
Skullgirls OCE Danisen,2025-07-14,Oceania,1,2024 Balance Patch,Drip,MF,FI,BB,Greenhood,EL,DB,RF,https://www.youtube.com/watch?v=_FBdwx1-504&t=10m48s
Skullgirls OCE Danisen,2025-07-14,Oceania,1,2024 Balance Patch,SeaJay,VA,CE,BB,Drip,MF,RF,BB,https://www.youtube.com/watch?v=_FBdwx1-504&t=26m58s
Skullgirls OCE Danisen,2025-07-14,Oceania,1,2024 Balance Patch,Drip,MF,FI,BB,free food,BD,BW,BB,https://www.youtube.com/watch?v=_FBdwx1-504&t=45m59s
Skullgirls OCE Danisen,2025-07-14,Oceania,1,2024 Balance Patch,Age,VA,SQ,CE,Hagith,MF,BW,N,https://www.youtube.com/watch?v=_FBdwx1-504&t=1h5m27s
Skullgirls OCE Danisen,2025-07-14,Oceania,1,2024 Balance Patch,Hagith,MF,BW,N,Risorreto,PC,UM,AN,https://www.youtube.com/watch?v=_FBdwx1-504&t=1h24m27s
Skullgirls OCE Quickbats,2025-07-11,Oceania,1,2024 Balance Patch,Demise,DB,FI,N,Beetron,PS,BD,EL,https://www.youtube.com/watch?v=1mCjIgtpSRg&t=38m52s
Skullgirls OCE Quickbats,2025-07-11,Oceania,1,2024 Balance Patch,SeaJay,VA,CE,BB,xyz,RF,DB,N,https://www.youtube.com/watch?v=1mCjIgtpSRg&t=47m42s
Skullgirls OCE Quickbats,2025-07-11,Oceania,1,2024 Balance Patch,Drip,MF,FI,BB,No Funny Name,FI,CE,BB,https://www.youtube.com/watch?v=1mCjIgtpSRg&t=52m23s
Skullgirls OCE Quickbats,2025-07-11,Oceania,1,2024 Balance Patch,Beetron,PS,BD,EL,SeaJay,VA,CE,BB,https://www.youtube.com/watch?v=1mCjIgtpSRg&t=1h0m3s
Skullgirls OCE Quickbats,2025-07-11,Oceania,1,2024 Balance Patch,Drip,MF,FI,BB,Beetron,PS,BD,EL,https://www.youtube.com/watch?v=1mCjIgtpSRg&t=1h8m39s
Skullgirls OCE Quickbats,2025-07-11,Oceania,1,2024 Balance Patch,Age,VA,SQ,CE,SeaJay,VA,CE,BB,https://www.youtube.com/watch?v=1mCjIgtpSRg&t=1h19m47s
Skullgirls OCE Quickbats,2025-07-11,Oceania,1,2024 Balance Patch,No Funny Name,FI,CE,BB,SeaJay,VA,CE,BB,https://www.youtube.com/watch?v=1mCjIgtpSRg&t=1h24m33s
Skullgirls OCE Quickbats,2025-07-11,Oceania,1,2024 Balance Patch,SeaJay,VA,CE,BB,Drip,MF,FI,BB,https://www.youtube.com/watch?v=1mCjIgtpSRg&t=1h30m5s
Skullgirls OCE Quickbats,2025-07-11,Oceania,1,2024 Balance Patch,Drip,MF,FI,BB,Beetron,PS,BD,EL,https://www.youtube.com/watch?v=1mCjIgtpSRg&t=1h43m7s
Skullgirls OCE Danisen,2025-07-07,Oceania,1,2024 Balance Patch,guumi,PC,CE,FU,Drip,EL,RF,BB,https://www.youtube.com/watch?v=o5IekG9gBqA
Skullgirls OCE Danisen,2025-07-07,Oceania,1,2024 Balance Patch,Hagith,MF,BW,N,Drip,EL,RF,BB,https://www.youtube.com/watch?v=o5IekG9gBqA&t=13m30s
Skullgirls OCE Danisen,2025-07-07,Oceania,1,2024 Balance Patch,Drip,BB,PS,PC,Jafferboof,BW,FU,BB,https://www.youtube.com/watch?v=o5IekG9gBqA&t=26m23s
Skullgirls OCE Danisen,2025-07-07,Oceania,1,2024 Balance Patch,Drip,BB,FI,N,Murix,EL,BB,N,https://www.youtube.com/watch?v=o5IekG9gBqA&t=47m27s
Skullgirls OCE Danisen,2025-07-07,Oceania,1,2024 Balance Patch,No Funny Name,FI,CE,BB,Drip,EL,RF,BB,https://www.youtube.com/watch?v=o5IekG9gBqA&t=1h0m6s
Skullgirls OCE Danisen,2025-07-07,Oceania,1,2024 Balance Patch,Drip,MF,RF,BB,SeaJay,VA,CE,BB,https://www.youtube.com/watch?v=o5IekG9gBqA&t=1h21m6s
Skullgirls OCE Danisen,2025-07-07,Oceania,1,2024 Balance Patch,Greenhood,RF,DB,EL,Drip,EL,RF,BB,https://www.youtube.com/watch?v=o5IekG9gBqA&t=1h40m49s
Skullgirls OCE Danisen,2025-07-07,Oceania,1,2024 Balance Patch,Greenhood,RF,DB,EL,SeaJay,VA,CE,BB,https://www.youtube.com/watch?v=o5IekG9gBqA&t=2h0m56s
Skullgirls OCE Danisen,2025-07-07,Oceania,1,2024 Balance Patch,Hagith,MF,BW,N,Jafferboof,FU,BB,N,https://www.youtube.com/watch?v=o5IekG9gBqA&t=2h24m21s
Skullgirls OCE Danisen,2025-07-07,Oceania,1,2024 Balance Patch,Murix,EL,BB,N,Hagith,EL,BW,N,https://www.youtube.com/watch?v=o5IekG9gBqA&t=2h39m43s
Skullgirls OCE Danisen,2025-07-07,Oceania,1,2024 Balance Patch,Hagith,MF,BW,N,Risorreto,PC,AN,UM,https://www.youtube.com/watch?v=o5IekG9gBqA&t=2h57m41s
