event,date,region,netplay,version,p1name,p1char1,p1char2,p1char3,p2name,p2char1,p2char2,p2char3,url
EVO 2013,2013-07-12,North America,0,SDE,Severin,PS,FI,DB,Duckator,VA,FI,DB,https://youtu.be/TJyL-CqLmzU?t=1m39s
EVO 2013,2013-07-12,North America,0,SDE,Chilldog,CE,PC,FI,Khaos Muffins,MF,N,N,https://youtu.be/TJyL-CqLmzU?t=7m10s
EVO 2013,2013-07-12,North America,0,SDE,Winnie,FI,DB,N,TJGamer22,CE,PC,N,https://youtu.be/TJyL-CqLmzU?t=12m9s
EVO 2013,2013-07-12,North America,0,SDE,CFAS | Keninblack,PS,DB,N,Inuchiyo5131,MF,FI,N,https://youtu.be/TJyL-CqLmzU?t=19m39s
EVO 2013,2013-07-12,North America,0,SDE,TJGamer22,PC,CE,N,Severin,PS,FI,DB,https://youtu.be/TJyL-CqLmzU?t=25m53s
EVO 2013,2013-07-12,North America,0,SDE,Inuchiyo5131,MF,FI,N,Khaos Muffins,MF,N,N,https://youtu.be/TJyL-CqLmzU?t=34m26s
EVO 2013,2013-07-12,North America,0,SDE,Duckator,VA,FI,DB,Chilldog,CE,PC,FI,https://youtu.be/TJyL-CqLmzU?t=40m3s
EVO 2013,2013-07-12,North America,0,SDE,Severin,PS,FI,DB,Khaos Muffins,MF,N,N,https://youtu.be/TJyL-CqLmzU?t=49m4s
EVO 2013,2013-07-12,North America,0,SDE,Severin,PS,FI,DB,Chilldog,PC,FI,CE,https://youtu.be/TJyL-CqLmzU?t=53m28s
EVO 2013,2013-07-12,North America,0,SDE,Severin,PS,FI,DB,Duckator,VA,FI,DB,https://youtu.be/TJyL-CqLmzU?t=1h1m53s
Who Y'all Like,2014-05-14,North America,1,Big Band Patch,Pikmario,FI,N,N,SpaceCadetKeon,PS,MF,N,https://youtu.be/J8dSB9yXKSA
Who Y'all Like,2014-05-14,North America,1,Big Band Patch,gllt,PS,CE,SQ,Kyre,VA,SQ,FI,https://youtu.be/zYkmJnd0q2U
Who Y'all Like,2014-05-14,North America,1,Big Band Patch,Flotilla ,BB,N,N,Mike Z,CE,BB,N,https://youtu.be/XoM7hRnajG0
Who Y'all Like,2014-05-14,North America,1,Big Band Patch,MegamanDS,FU,PS,N,Duckator,VA,FI,DB,https://youtu.be/o5Sr3PbPny4
UFGTX,2014-05-23,North America,0,Fukua Patch,WorldJem,PC,FU,FI,IGL | Duckator,VA,FI,DB,https://youtu.be/G-X3RCLWufc?t=1m6s
UFGTX,2014-05-23,North America,0,Fukua Patch,Dark Obliske,PW,PS,N,Winnie,FI,FU,DB,https://youtu.be/G-X3RCLWufc?t=6m48s
UFGTX,2014-05-23,North America,0,Fukua Patch,DCB | Keninblack,PS,FU,DB,Klone,PS,FI,DB,https://youtu.be/G-X3RCLWufc?t=10m20s
UFGTX,2014-05-23,North America,0,Fukua Patch,Mike Z,CE,BB,N,Elda Taluda,PW,MF,CE,https://youtu.be/xL4r2Nz_dVI?t=30s
UFGTX,2014-05-23,North America,0,Fukua Patch,IGL | Duckator,VA,FI,DB,Winnie,FU,FI,DB,https://youtu.be/xL4r2Nz_dVI?t=5m20s
UFGTX,2014-05-23,North America,0,Fukua Patch,DCB | Keninblack,PS,FU,DB,Elda Taluda,PW,MF,CE,https://youtu.be/srisjH_jeRk?t=1s
UFGTX,2014-05-23,North America,0,Fukua Patch,PFC | DadToucher,FI,PS,N,FuLLBLeeD,MF,BB,N,https://youtu.be/srisjH_jeRk?t=5m30s
UFGTX,2014-05-23,North America,0,Fukua Patch,FuzzySnugs,SQ,FU,DB,ZeroELopez,MF,SQ,PS,https://youtu.be/srisjH_jeRk?t=12m55s
UFGTX,2014-05-23,North America,0,Fukua Patch,OmniScythe,VA,MF,DB,EvilBen,FI,CE,N,https://youtu.be/E23YKVL0nkA?t=4m8s
UFGTX,2014-05-23,North America,0,Fukua Patch,IGL | NCV,PS,PW,DB,Ryden Onkars,SQ,CE,BB,https://youtu.be/E23YKVL0nkA?t=9m17s
UFGTX,2014-05-23,North America,0,Fukua Patch,Mike Z,CE,BB,N,FuLLBLeeD,MF,BB,N,https://youtu.be/ySLxr8xxu_M?t=22s
UFGTX,2014-05-23,North America,0,Fukua Patch,OmniScythe,VA,MF,DB,Klone,PS,FI,DB,https://youtu.be/ySLxr8xxu_M?t=6m19s
UFGTX,2014-05-23,North America,0,Fukua Patch,FuzzySnugs,SQ,FU,DB,Dark Obliske,PW,PS,N,https://youtu.be/ySLxr8xxu_M?t=12m14s
UFGTX,2014-05-23,North America,0,Fukua Patch,WorldJem,PC,FU,FI,IGL | NCV,PS,PW,DB,https://youtu.be/zlXiPOPAQoY?t=2m45s
UFGTX,2014-05-23,North America,0,Fukua Patch,OmniScythe,VA,MF,DB,FuLLBLeeD,MF,BB,N,https://youtu.be/zlXiPOPAQoY?t=8m44s
UFGTX,2014-05-23,North America,0,Fukua Patch,OmniScythe,VA,MF,DB,IGL | Duckator,VA,FI,DB,https://youtu.be/7gW1eaC4Q_M?t=3m15s
UFGTX,2014-05-23,North America,0,Fukua Patch,WorldJem,PC,FU,FI,FuzzySnugs,SQ,FU,DB,https://youtu.be/7gW1eaC4Q_M?t=8m23s
UFGTX,2014-05-23,North America,0,Fukua Patch,DCB | Keninblack,PS,FU,DB,FuzzySnugs,SQ,FU,DB,https://youtu.be/KVc8P2fiPRI?t=1m12s
UFGTX,2014-05-23,North America,0,Fukua Patch,DCB | Keninblack,PS,FU,DB,IGL | Duckator,VA,FI,DB,https://youtu.be/KVc8P2fiPRI?t=7m47s
UFGTX,2014-05-23,North America,0,Fukua Patch,Elda Taluda,PW,MF,CE,Winnie,FI,FU,DB,https://youtu.be/t6IHSGV_BDQ?t=3m20s
UFGTX,2014-05-23,North America,0,Fukua Patch,Winnie,FI,FU,DB,IGL | Duckator,VA,FI,DB,https://youtu.be/t6IHSGV_BDQ?t=12m49s
